! NAME [11] IV - Input = 0 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
9.09E-04,-2.51E-06,30,0.015313,-29.01702,16.62179,-0.5,3
8.83E-04,-2.59E-06,31,0.015401,-28.88402,16.78911,-0.5,3.1
8.85E-04,-2.67E-06,32,0.01549,-28.74194,16.95187,-0.5,3.2
8.75E-04,-2.76E-06,33,0.015578,-28.60435,17.11026,-0.5,3.3
8.63E-04,-2.84E-06,34,0.015664,-28.47406,17.26393,-0.5,3.4
8.66E-04,-2.93E-06,35,0.015751,-28.34162,17.41365,-0.5,3.5
8.66E-04,-3.02E-06,36,0.015838,-28.20881,17.55992,-0.5,3.6
8.46E-04,-3.11E-06,37,0.015924,-28.0813,17.70246,-0.5,3.7
8.36E-04,-3.21E-06,38,0.016007,-27.94931,17.84085,-0.5,3.8
8.41E-04,-3.30E-06,39,0.016091,-27.82779,17.97645,-0.5,3.9
8.39E-04,-3.40E-06,40,0.016175,-27.69933,18.10902,-0.5,4
8.32E-04,-3.50E-06,41,0.016259,-27.57458,18.2387,-0.5,4.1
8.17E-04,-3.60E-06,42,0.016341,-27.45331,18.36533,-0.5,4.2
8.09E-04,-3.70E-06,43,0.016422,-27.33065,18.48895,-0.5,4.3
7.91E-04,-3.80E-06,44,0.016503,-27.21246,18.61016,-0.5,4.4
7.88E-04,-3.91E-06,45,0.01658,-27.09075,18.728,-0.5,4.5
7.92E-04,-4.02E-06,46,0.016661,-26.97236,18.84448,-0.5,4.6
7.75E-04,-4.13E-06,47,0.016739,-26.85606,18.95814,-0.5,4.7
7.76E-04,-4.24E-06,48,0.016816,-26.73868,19.06954,-0.5,4.8
7.65E-04,-4.35E-06,49,0.016894,-26.62441,19.17921,-0.5,4.9
7.48E-04,-4.47E-06,50,0.016969,-26.50625,19.28613,-0.5,5
,,,,,,,
! NAME [11] IV - Input = -0.6 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.035332,-6.32E-07,0,4.75E-07,-34.21129,-74.54075,-0.6,-7.40E-05
0.025336,-6.86E-07,1,0.0035363,-33.85525,-4.51445,-0.6,0.1
0.010479,-7.37E-07,2,0.0050707,-33.54378,0.060996,-0.60001,0.2
0.0041516,-7.94E-07,3,0.0056321,-33.22027,2.27786,-0.6,0.3
0.0022603,-8.48E-07,4,0.005901,-32.93455,3.72985,-0.6,0.4
0.0016783,-9.04E-07,5,0.0060841,-32.65681,4.83167,-0.6,0.5
0.0014187,-9.62E-07,6,0.0062367,-32.38672,5.73106,-0.6,0.6
0.0012686,-1.02E-06,7,0.0063679,-32.14955,6.49092,-0.6,0.7
0.0011631,-1.07E-06,8,0.0064904,-31.90844,7.15363,-0.6,0.8
0.0010982,-1.13E-06,9,0.0066005,-31.68386,7.73817,-0.6,0.9
0.0010768,-1.19E-06,10,0.0067101,-31.46302,8.26726,-0.6,1
